א דהאבשה,דקה וחצי,נגב 299,,
א דיר במזרח הר חברון,דקה וחצי,יהודה 200,,
א דיר במערב הר חברון,דקה וחצי,יהודה 188,,
א דיראת,דקה וחצי,יהודה 207,,
א דנפירי,דקה וחצי,נגב 300,,
א זיאדנה דרומית לרהט,45 שניות,באר שבע 286,,
א זיאדנה צפונית לרהט,45 שניות,באר שבע 286,,
א זעיים,דקה וחצי,ירושלים 194,,
א טבקה,דקה וחצי,יהודה 207,,
א טוואני,דקה וחצי,יהודה 207,,
א לובאן,דקה וחצי,שומרון 123,,
א נבארי,דקה וחצי,נגב 296,,
א נוואקיר,מיידי,קו העימות 15,,
א סייד ,דקה וחצי,נגב 296,,
א סלבה,15 שניות,קצרין 7,,
א ראם,דקה וחצי,שומרון 126,,
א ראס,דקה וחצי,שומרון 120,,
א ריחייה,דקה וחצי,יהודה 207,,
א שהאדה,דקה וחצי,שומרון 119,,
א שויוח,דקה וחצי,יהודה 206,,
א שייח' אחמד,דקה וחצי,שומרון 121,,
א.ת אשקלון,30 שניות,אשקלון 247,,
אבו ג'אבר,דקה וחצי,נגב 287,,
אבו ג'אבר דרומית ממיתר,דקה וחצי,נגב 296,,
אבו ג'ודה,דקה וחצי,נגב 299,,
אבו ג'ווייעד,דקה וחצי,נגב 299,,
אבו גוש,דקה וחצי,בית שמש 189,,
אבו דיאב,דקה,גליל תחתון 63  ,,
אבו דיס,דקה וחצי,ירושלים 194,,
אבו טראש,דקה וחצי,נגב 287,,
אבו כף אום בטין,דקה וחצי,נגב 287,,
אבו נוג'ים,דקה וחצי,יהודה 200,,
אבו סלמאן,דקה וחצי,שומרון 121,,
אבו סריחאן,דקה וחצי,נגב 287,,
אבו עבדון,דקה וחצי,נגב 287,,
אבו עמרה,דקה וחצי,נגב 287,,
אבו עסא,דקה וחצי,נגב 287,,
אבו עפאש,דקה וחצי,נגב 300,,
אבו קוידר אל עפאוי דרומית לנבטים,דקה וחצי,נגב 297,,
אבו קרינאת,דקה וחצי,נגב 299,,
אבו קרינאת מערבית לכסיפה,דקה וחצי,נגב 299,,
אבו קש,דקה וחצי,שומרון 126,,
אבו רביעה,דקה וחצי,נגב 299,,
אבו רביעה צפונית לכסיפה,דקה וחצי,נגב 299,,
אבו רוקייק,דקה וחצי,נגב 287,,
אבו שח'ידם,דקה וחצי,שומרון 126,,
אבו תלול,דקה וחצי,נגב 297,,
אבטין,דקה,הקריות 71,,
אבטליון,דקה,גליל תחתון 60,,
אביאל,דקה וחצי,מנשה 104,,
אביבים,מיידי,קו העימות 22,,
אביגדור,45 שניות,אשדוד 275,,
אביחיל,דקה וחצי,שרון 138,,
אביטל,דקה,עמק יזרעאל 93,,
אביעזר,דקה וחצי,בית שמש 188,,
אבירים,מיידי,קו העימות 17,,
אבן יהודה,דקה וחצי,שרון 142,,
אבן מנחם,מיידי,קו העימות 16,,
אבן ספיר,דקה וחצי,בית שמש 191,,
אבן שמואל,30 שניות,אשדוד 281,,
אבני איתן,מיידי,גולן 2,,
אבני חפץ,דקה וחצי,שומרון 120,,
אבנת,דקה וחצי,ים המלח 210,,
אבשלום,15 שניות,עוטף עזה 238,,
אדורה,דקה וחצי,יהודה 207,,
אדירים,דקה,עמק יזרעאל 93,,
אדמית,מיידי,קו העימות 15,,
